Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2010,9,26,0,0.1,-1.9
2010,9,27,4.9,17,-2.9
2010,9,28,23.9,40.8,7.9
2010,9,29,0.2,0.5,10.7
2010,9,30,19,53.6,9
2010,10,1,17.6,11.3,10.1
2010,10,2,0.2,0.1,6.8
2010,10,3,0,0,1.3
2010,10,4,0,0,-1.9
2010,10,5,0.1,0,-0.2
2010,10,6,6.4,15.4,-2.7
2010,10,7,12.1,9.9,3.1
2010,10,8,2.5,1.7,0
2010,10,9,4.6,0.1,-1.7
2010,10,10,3.4,0.1,-0.4
2010,10,11,0,0,-1.1
2010,10,12,1.2,0,-0.7
2010,10,13,0,0.4,0.1
2010,10,14,0,2.2,-4.3
2010,10,15,7.5,95.7,-2
2010,10,16,1.4,0.9,3
2010,10,17,8.7,0.9,1.3
2010,10,18,2.3,0.2,-0.6
2010,10,19,0.3,0.3,-2.3
2010,10,20,2,2.4,-4.5
2010,10,21,6.7,10.7,-3.5
2010,10,22,23.9,6.6,-1.1
2010,10,23,5.1,0.5,-1.2
2010,10,24,0.3,1.3,-2.1
2010,10,25,10.3,9.1,-7.8
2010,10,26,0,4.4,-1.4
2010,10,27,5.5,1.3,0
2010,10,28,0.9,0.2,2
2010,10,29,0,1,1.4
2010,10,30,0.2,3.3,-2.1
2010,10,31,0.4,0.8,-3.9
2010,11,1,0.6,0.1,-2.4
2010,11,2,0,0,-6.5
2010,11,3,0,0,-5.6
2010,11,4,14.7,15.1,-7.3
2010,11,5,16.7,11.6,-1.1
2010,11,6,0,0,1.7
2010,11,7,10.6,2.6,-1.3
2010,11,8,0.4,15.7,-1.2
2010,11,9,0,0.1,-2.1
2010,11,10,0,0,-4.5
2010,11,11,0,0,-5.9
2010,11,12,0,0,-3.6
2010,11,13,0,0,-1.4
2010,11,14,0,1.1,-5.8
2010,11,15,0,0.4,-5.6
2010,11,16,0,25.6,-2.3
2010,11,17,20,27.6,-4.3
2010,11,18,1.2,0.1,-0.2
2010,11,19,0.7,2.2,-7.9
2010,11,20,1.8,2.6,-10.8
2010,11,21,0.2,4.1,-10.8
2010,11,22,0.4,12.2,-11.4
2010,11,23,20.1,10.4,-9.8
2010,11,24,9.6,5,-3.8
2010,11,25,1.9,3.4,-3
2010,11,26,0.1,8.8,-6.8
2010,11,27,0.1,3.2,-13.6
2010,11,28,0,0,-9.8
2010,11,29,0,0,-6.4
2010,11,30,0,28,-7.9
2010,12,1,0,35.3,-8.7
2010,12,2,2,3.7,-1.1
2010,12,3,0.3,9.9,0.2
2010,12,4,8.9,11.5,0.1
2010,12,5,1.6,4,1.2
2010,12,6,7.1,69.8,-1.4
2010,12,7,0,15.2,-5.6
